study,subject_nr,gender,age,race,condition,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
1,1,Female,21,White,bp_rec,1,0,0,1,0,0,4,4,NA,1,NA
1,3,Female,20,White,ba_tj,0.5,0.5,1,1,1.17,1.17,5,2,1,1,3.343434343
1,4,Female,19,White,ba_rec,1,0.25,0.5,0.5,0.5,0,3,2,1,1,2.560606061
1,5,Female,20,White,ba_rec,0.25,0.67,0.67,0.67,1,0,2,5,1,3,2.045454545
1,6,Female,18,White,bp_ts,1,1,1,1,0,0,4,4,1,1,2.560606061
1,7,Male,18,White,ba_tj,1,0.5,0.17,0.17,0.17,0.17,2,2,3,1,2.621212121
1,8,Female,21,Asian,ba_ts,0.5,0.5,0.75,0.5,1,0.5,3,5,1,1,3.787878788
1,9,Female,19,White,ba_rec,0,0,0,0,0,0,6,4,1,1,3.287878788
1,10,Male,19,White,ba_rec,1,0,0.17,0,1,0,3,4,3,4,2.484848485
1,11,Female,19,White,ba_ts,NA,1,0,0,0,0,2,2,3,1,2.277777778
1,13,Female,20,White,ba_rec,0,0,0,0,0.17,0.17,4,1,5,1,2.883838384
1,14,Female,18,White,ba_ts,0,0,0,0.17,0,0.17,5,3,1,1,4.050505051
1,15,Female,18,White,ba_rec,0.25,0.25,0,0,0,0,2,3,3,1,1.358585859
1,16,Female,19,White,bp_ts,0.5,0.25,0.17,0,0,0,4,3,1,1,3.242424242
1,17,Female,19,White,bp_rec,1,1,0.77,0,1,1,1,1,1,1,2.121212121
1,18,Female,20,Asian,ba_tj,1,1,1,1,1,1,4,6,1,4,2.181818182
1,19,Female,19,White,bp_tj,1,0.5,1,0.5,1,1,5,4,2,1,2.772727273
1,20,Male,18,Hispanic,bp_ts,0,0,0,0,0,0,6,6,5,5,1.888888889
1,21,Female,19,"1,5",ba_tj,0,0,0.17,0,0.17,0.17,5,3,1,1,2.217171717
1,22,Female,18,White,bp_rec,0.5,0.5,0,0,0.5,1,4,1,1,1,2.515151515
1,23,Female,20,White,ba_ts,0.25,0,1,0,0,0,5,3,3,1,2.737373737
1,24,Female,22,White,bp_tj,0,0,0,0,0,0,5,2,1,1,2.146464646
1,25,Female,20,Asian,ba_rec,0.25,0,1,0,0,0,6,4,4,1,2.97979798
1,26,Female,19,White,ba_rec,0.5,0.5,0.5,0,1.17,0.17,1,2,1,1,1.909090909
1,27,Female,18,White,bp_tj,0.25,0,0,0,0.17,0.17,3,3,3,1,3.292929293
1,28,Female,19,White,bp_rec,1,0.5,1,0.75,0.17,0.75,5,2,1,1,3.282828283
1,29,Female,21,White,ba_ts,0.5,0.25,1,0.17,1,0.5,5,3,3,1,3.049494949
1,30,Female,35,"1,4",ba_tj,1,1,1,1,1,1,1,2,1,1,2.606060606
1,31,Female,18,White,bp_ts,0,1,0,0,1,1,4,5,3,1,2.787878788
1,32,Female,21,White,ba_rec,0.5,1,1,1,0,0,4,2,1,1,2.676767677
1,33,Female,20,Hispanic,ba_ts,0,0,0,0,0,0,4,4,1,1,3.494949495
1,34,Female,18,White,bp_rec,1,1,2,2,1.27,1.27,4,4,2,2,3.176767677
1,35,Female,19,White,bp_tj,0,0,0,0,0,0,5,5,4,4,2.287878788
1,36,Female,18,White,ba_tj,0.5,0.5,1.17,1.17,1.17,1.17,3,3,1,2,2.621212121
1,37,Male,19,Asian,bp_ts,0.5,0,0.5,0,1,0.5,2,2,4,5,2.393939394
1,38,Female,18,White,ba_rec,0.25,0.25,1,0.57,1,0,2,4,3,1,3.893939394
1,39,Female,20,White,bp_rec,0,0,0,0,0.17,0.17,5,3,3,1,2.843434343
1,40,Female,21,White,ba_ts,0.25,0.25,1,1,0,0,2,5,3,5,2.848484848
1,42,Female,19,White,ba_tj,1,0,1,1,0,1,5,5,3,3,2.429292929
1,43,Female,18,Asian,bp_tj,0.25,0,0,0,0,0,5,4,3,1,3.570707071
1,44,Female,22,White,bp_ts,0.25,0.25,0.17,0.17,1,0.17,3,3,1,2,2.888888889
1,45,Female,20,White,ba_ts,0.25,0,0,0,0.17,0.17,4,3,1,3,2.45959596
1,46,Female,19,White,ba_rec,1,1,1,1,0.17,0.17,2,2,1,1,2.601010101
1,47,Female,20,White,ba_tj,1,1,1,0,1,1,1,1,1,1,1.606060606
1,48,Male,18,White,bp_ts,0.25,0,0.5,0,0.5,0,6,5,4,3,2.51010101
1,49,Female,23,White,bp_tj,0.5,0.5,0,0,0.5,0.5,3,2,1,1,3.060606061
1,50,Female,18,Asian,bp_rec,1,1,1,1,1,1,4,1,1,1,2.833333333
1,51,Female,18,White,ba_rec,0,0,1,0,0.5,0,3,1,1,3,2.282828283
1,52,Female,20,White,ba_tj,0.5,0,0,0,1,1,4,4,1,1,2.732323232
1,53,Female,20,White,bp_tj,0.5,0.5,0.27,0.27,0.27,0.27,3,3,1,2,1.878787879
1,54,Female,20,White,bp_rec,0,0,0,0,0.25,0,4,4,1,1,2.257575758
1,55,Male,21,White,ba_ts,0.5,0.5,0.38,0.38,0.38,0.38,5,2,3,1,3.51010101
1,56,Male,20,White,bp_ts,0.5,0.5,0.5,0.5,0.5,0.5,4,4,1,1,3.202020202
1,57,Male,19,White,ba_rec,0.5,0.5,0.5,0,0.17,0.17,3,2,1,1,2.868686869
1,58,Male,21,White,bp_ts,0.25,0.25,0,0,0.17,0,5,4,3,1,3.323232323
1,59,Female,20,Asian,bp_tj,1,0.25,2.17,1,1,0,3,3,3,5,2.152525253
1,60,Male,19,Asian,bp_rec,1.17,1.17,1.17,1.17,1.17,1.17,2,4,1,1,3.439393939
1,61,Female,18,White,ba_tj,0.25,0,0,0,0,0,4,4,5,1,1.515151515
1,62,Female,18,White,ba_ts,0,0,0,0,0,0,4,4,3,1,2.171717172
1,63,Female,19,White,ba_rec,0,0,1,1,0.5,0,4,4,1,2,2.262626263
1,64,Female,18,White,bp_ts,0.25,0.25,0.25,0.17,0.17,0.17,4,1,1,1,3.035353535
1,65,Female,19,White,ba_ts,0.5,0.5,0.5,0.5,0.5,0.5,2,3,3,3,2.45959596
1,66,Male,19,White,bp_tj,0.25,0,0,0,0.17,0.17,4,5,1,3,2.565656566
1,67,Female,18,Hispanic,bp_rec,1,1,0,0,1,0,5,4,2,2,2.772727273
1,68,Male,21,White,ba_tj,1,0.5,0,1,0,1.5,2,5,1,1,2.611111111
1,69,Male,20,White,ba_tj,0.5,0.25,0.17,0.17,0.17,0.17,2,2,1,1,2.954545455
1,70,Male,18,White,ba_ts,0,0,0,0,0.17,0.17,3,2,1,1,3.242424242
1,71,Male,18,"1,2",ba_rec,0.5,0.5,0.5,0.5,0.5,0.5,3,2,1,3,3.595959596
1,72,Female,19,Hispanic,bp_tj,1,1,1,1,1,1,2,2,1,1,2.373737374
1,73,Female,21,White,bp_ts,0.5,0.5,0.5,0.17,0.17,0.17,1,2,2,3,2.909090909
1,74,Female,21,White,bp_rec,0.5,0.5,1,0,0.27,0,3,6,1,1,2.429292929
1,75,Female,20,White,bp_tj,NA,0.25,0,0,0,0,5,NA,2,NA,2.954545455
1,76,Male,29,White,ba_tj,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,3.555555556
1,77,Male,21,White,bp_ts,0.5,NA,0,0.17,0,0.17,4,4,3,3,3.323232323
1,78,Female,22,Asian,bp_rec,0.25,0.25,1,0,0,0,3,4,3,5,3.48989899
1,79,Female,19,Hispanic,ba_ts,0.5,0.5,0.5,0.5,1,1,4,4,3,1,2.570707071
1,80,Female,20,White,ba_rec,0,0,0,0,0.5,0,3,4,2,1,4.282828283
1,81,Female,20,White,ba_tj,1,1,1,1,1,1,1,4,2,3,3.247474747
1,82,Female,18,White,ba_ts,0,0,0,0,1,0,3,3,1,1,2.873737374
1,83,Male,18,White,ba_rec,1,0.5,1,1,1,1,5,4,3,5,2.934343434
1,84,Female,17,White,bp_tj,0,0,0,0,0.5,0,5,2,4,1,1.949494949
1,85,Female,19,White,bp_ts,0.25,0.25,0,0,0,0,5,3,4,5,3.070707071
1,86,Female,18,White,bp_rec,1,1,1,1,1,1,2,2,1,1,2.03030303
1,87,Female,20,"1,5",bp_tj,1,1,1,1,0.17,0.17,4,4,1,1,1.914141414
1,88,Female,18,White,ba_tj,0.5,0.5,1,0,0.5,0,5,6,4,5,3.055555556
1,89,Female,18,White,bp_ts,0.25,0.25,0.25,0,1,0,5,4,3,3,1.823232323
1,90,Female,21,White,bp_rec,0.5,0.5,1,0.5,0,0,2,3,2,5,2.823232323
1,91,Male,18,Asian,ba_rec,0,0,0,0,0.27,0,3,3,4,4,3.222222222
1,92,Female,18,White,ba_ts,0.25,0.25,0,0.25,0.25,0.25,3,2,2,3,3.02020202
1,93,Female,18,Hispanic,ba_tj,1,0.5,1,1,0.17,0.17,2,2,1,1,1.595959596
1,94,Female,21,Black/African American,ba_ts,1,1,1,1,1,1,4,4,2,1,2.217171717
1,95,Female,18,White,bp_tj,0,0,0,0,0,0,4,4,1,1,3.398989899
1,96,Male,19,White,bp_ts,0.25,0.25,0.25,0.25,0.17,0.17,3,2,1,1,2.193939394
1,97,Female,19,White,ba_rec,0.5,0.25,0.17,0.17,1,1,5,3,1,1,2.51010101
1,98,Female,18,White,bp_rec,0,0,0,0,0,0,4,1,1,1,3.186868687
1,99,Female,18,Other,bp_tj,0.5,0.5,0.5,0.5,0.17,0.17,2,2,1,1,2.722222222
1,100,Female,18,White,ba_ts,1,1,1,1,1,1,2,2,2,2,2.418181818
1,101,Female,20,White,bp_ts,1,1,0.5,1,0,1,3,3,1,1,2.242424242
1,102,Female,19,White,ba_tj,0,0.25,0,0,0.17,0,3,3,3,1,2.070707071
1,103,Female,19,"1,2",bp_rec,0.5,0,0,0,1,0,4,4,1,1,2.656565657
1,104,Female,21,White,ba_rec,0.25,0.17,0.17,0,0,0,5,5,1,1,3.101010101
1,105,Female,19,Black/African American,ba_ts,0,0,0,1,0,0,4,4,5,3,3.45959596
1,106,Male,18,White,bp_rec,0.25,0,0,0,0,0,4,4,1,1,2.262626263
1,107,Male,19,White,bp_tj,1,1,2.17,0.17,2.17,0,3,2,3,3,2.035353535
1,108,Male,19,Asian,ba_rec,1,1,1,1,0,0,2,4,1,5,4.323232323
1,109,Male,20,Black/African American,ba_tj,0.25,0,0.25,0,0.5,0,3,4,2,1,3.308080808
1,110,Female,21,White,bp_ts,0.5,0.5,0,0.5,0.17,0.17,5,4,3,1,2.343434343
1,111,Female,19,White,bp_ts,0.25,0,1,0,0.17,0.19,2,3,1,1,3.368686869
1,112,Female,19,"1,2",ba_ts,1,0.5,0.25,0.5,0,1,5,3,1,1,2.454545455
1,113,Male,20,White,bp_rec,0.5,0,1,0,0,0.5,4,4,3,2,3.898989899
1,114,Female,22,"1,3",bp_tj,0.17,0.17,0.17,0.17,0.17,0.17,2,2,1,1,2.161616162
1,115,Female,17,White,ba_tj,0.5,0,0.5,0.5,0.75,0.75,5,2,3,2,2.843434343
1,116,Male,19,White,ba_rec,1,0.5,0.77,0.77,0.77,0,4,5,3,1,3.449494949
1,117,Female,22,Other,bp_tj,0.5,0.5,2,0.5,2,1,4,3,2,1,2.449494949
1,118,Female,18,White,bp_ts,2,2,2,2,2,2,1,2,1,1,2.434343434
1,119,Female,19,Black/African American,bp_rec,NA,0,0,0,0,0,4,4,1,1,2.166666667
1,120,Female,18,"1,2",ba_rec,3,0.25,3,1,3,0,5,3,3,1,3.797979798
1,121,Female,18,White,ba_tj,1,1,1,1,1,1,4,3,2,2,2.343434343
1,122,Female,18,White,ba_ts,1,1,2,0,1,0,5,4,1,2,2.924242424
1,123,Male,18,Hispanic,bp_rec,1,NA,1.17,0,3,1.17,1,4,1,3,2.803030303
1,124,Female,18,White,ba_ts,0,0.5,0.75,0.5,0.27,0.27,1,1,1,1,2.843434343
1,125,Female,18,White,bp_ts,1,1,1,1,1,1,2,1,2,1,1.055555556
1,126,Female,18,White,ba_rec,0,0,0,0,0,0,3,3,1,1,2.242424242
1,127,Female,19,White,ba_tj,1,1,1,0,0,2,4,2,3,1,2.641414141
1,128,Male,18,"1,6",bp_tj,1,0,1,1,1,1,4,5,1,3,2.222222222
1,129,Female,21,White,bp_tj,0.5,0.25,1,1,1,0,4,4,3,4,2.282828283
1,130,Male,20,Hispanic,ba_rec,2,1,2,1,2,0,2,5,3,4,3.035353535
1,131,Female,18,White,ba_tj,2,0,2,0,1.17,1.17,4,4,1,1,3.095959596
1,132,Female,19,White,bp_rec,0.25,0.25,0.17,0,0.17,0.17,3,2,1,1,3.292929293
1,133,Female,18,Hispanic,bp_ts,0.25,0.25,0.25,0,0.17,0.17,2,1,1,1,2.727272727
1,134,Female,19,"1,4",ba_ts,1,1,1,1,0,1,5,2,2,1,1.833333333
1,135,Female,21,White,ba_tj,0.25,0,0,0,0.17,0.26,3,3,3,3,2.474747475
1,136,Female,18,White,ba_rec,0.25,0,0,0,0,0,4,4,5,3,3.080808081
1,137,Female,22,Hispanic,bp_ts,1,0,1,0,0,0,4,4,2,1,3.095959596
1,138,Female,19,White,bp_rec,0,0,0,0,0,0,5,5,1,1,3.515151515
1,139,Female,19,"1,2",bp_tj,0,0,0,0,0,0,3,2,1,1,2.54040404
1,140,Female,18,Hispanic,ba_ts,0,0,0,0,0,0,4,4,3,1,1.671717172
1,141,Male,19,Hispanic,ba_ts,0,0,0,0,0,0,4,4,3,1,3.136363636
1,142,Female,18,White,bp_ts,0,0,0,0,0.17,0.17,4,4,1,1,3.217171717
1,143,Female,21,White,bp_rec,0.5,NA,0,0,0,0,2,3,3,3,2.106060606
1,144,Female,17,Other,ba_rec,0.5,0.25,0.5,0.5,0,0,6,2,1,1,2.560606061
1,145,Male,18,White,bp_tj,0.5,0,1,0,0.17,0.17,5,4,1,1,3.060606061
